program,sequencer,lane,device,destination,port,channel,midi_note,note_name_standard_C4_60,bar,step_in_bar,global_step_in_program,velocity,gate,micro_offset_oxi_increments,probability_percent,ratchet,comments
RIO-A CORE,1,1,Analog Rytm MKII,BD / A SHARP KICK,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,0,C0 / C-2,1,1,1,127,short drum gate,0,100,,
RIO-A CORE,1,1,Analog Rytm MKII,BD / A SHARP KICK,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,0,C0 / C-2,1,5,5,127,short drum gate,0,100,,
RIO-A CORE,1,1,Analog Rytm MKII,BD / A SHARP KICK,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,0,C0 / C-2,1,9,9,127,short drum gate,0,100,,
RIO-A CORE,1,1,Analog Rytm MKII,BD / A SHARP KICK,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,0,C0 / C-2,1,13,13,127,short drum gate,0,100,,
RIO-A CORE,1,3,Analog Rytm MKII,RS / TRIBAL RIM,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,2,D0 / D-2,1,3,3,104,short drum gate,0,100,,
RIO-A CORE,1,3,Analog Rytm MKII,RS / TRIBAL RIM,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,2,D0 / D-2,1,7,7,74,short drum gate,-1,100,,
RIO-A CORE,1,3,Analog Rytm MKII,RS / TRIBAL RIM,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,2,D0 / D-2,1,11,11,96,short drum gate,0,100,,
RIO-A CORE,1,3,Analog Rytm MKII,RS / TRIBAL RIM,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,2,D0 / D-2,1,15,15,68,short drum gate,1,75,,
RIO-A CORE,1,5,Analog Rytm MKII,BT / PREKICK RUMBLE,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,4,E0 / E-2,1,4,4,100,short drum gate,1,100,,Late pre-kick pull into the following kick
RIO-A CORE,1,5,Analog Rytm MKII,BT / PREKICK RUMBLE,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,4,E0 / E-2,1,8,8,92,short drum gate,1,100,,Late pre-kick pull into the following kick
RIO-A CORE,1,5,Analog Rytm MKII,BT / PREKICK RUMBLE,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,4,E0 / E-2,1,12,12,98,short drum gate,1,100,,Late pre-kick pull into the following kick
